City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nanakuli,90,US,1555472003,64,21.39,-158.15,82.4,6.93
Mangaratiba,75,BR,1555472009,74,-22.96,-44.04,82.4,10.29
Najran,0,SA,1555470000,28,17.54,44.22,68,2.26
Roman,90,RO,1555472133,93,46.92,26.93,43,11.41
Sorland,52,NO,1555472217,73,67.67,12.69,41.09,6.13
Buala,100,SB,1555472217,76,-8.15,159.59,83.39,7.94
Port-Gentil,100,GA,1555472217,72,-0.72,8.78,83.57,4.7
Ledyard,75,US,1555472182,34,41.44,-72.02,54,10.29
Tilichiki,0,RU,1555472126,58,60.47,166.1,31.01,2.98
Katobu,79,ID,1555472218,76,-4.94,122.53,86.09,2.71
Sanghar,0,PK,1555472218,44,28.18,68.31,74.03,3.67
Sola,0,FI,1555471626,86,62.78,29.36,28.4,2.24
Gold Coast,40,AU,1555471948,57,-28,153.41,82.99,16.11
Escarcega,36,MX,1555472218,55,18.61,-90.75,83.93,8.9
Puerto Escondido,5,MX,1555469100,65,15.86,-97.07,78.8,1.66
Opuwo,0,NA,1555472219,46,-18.06,13.84,66.65,0.92
Mount Pleasant,1,US,1555472013,72,33.16,-94.97,70,6.93
Los Llanos de Aridane,57,ES,1555472129,77,28.66,-17.92,62.6,6.93
Verkhoyansk,58,RU,1555472220,83,67.55,133.39,22.01,11.81
Muros,0,ES,1555472208,81,42.77,-9.06,57.99,5.82
San Benito,100,CO,1555472220,96,6.13,-73.51,65.75,3.31
Hutchinson,90,US,1555472114,72,38.06,-97.93,66.99,18.34
Tshikapa,84,CD,1555472220,94,-6.42,20.79,69.89,2.06
Jiayuguan,100,CN,1555472220,26,39.77,98.29,64.13,14.65
Dogondoutchi,17,NE,1555472221,9,13.64,4.03,82.31,10.36
Madiun,16,ID,1555472221,64,-7.63,111.52,86.63,4.81
Orapa,23,BW,1555472281,42,-21.28,25.37,72.05,8.1
Padang,20,ID,1555470000,66,-0.92,100.36,86,3.36
Misratah,0,LY,1555472281,77,32.38,15.09,61.07,14.79
Perpignan,100,FR,1555472234,100,42.7,2.88,53.01,4.7
Santa Barbara,1,US,1555472024,76,34.42,-119.7,61,5.82
Qaqortoq,3,GL,1555469400,80,60.72,-46.03,35.6,4.7
Mandalgovi,0,MN,1555472282,48,45.76,106.27,42.17,18.41
Port Lincoln,98,AU,1555472282,76,-34.72,135.86,65.57,17.47
Charcas,0,MX,1555472282,15,23.13,-101.11,76.19,11.72
Aykhal,0,RU,1555470000,44,65.95,111.51,21.2,4.47
Bereznik,100,RU,1555472283,81,62.86,42.71,27.77,3.6
Lorengau,100,PG,1555472093,87,-2.02,147.27,80.51,6.85
Bakel,0,SN,1555472283,7,14.9,-12.46,89.33,8.93
Faya,0,SA,1555470000,72,18.39,42.45,60.8,3.36
Kabare,76,RW,1555472283,96,-1.65,29.38,56.03,2.66
Rondonopolis,100,BR,1555472015,78,-16.46,-54.64,76.73,0.74
Konevo,5,BG,1555471214,85,41.67,25.61,44.01,1.01
Bronnoysund,0,NO,1555471200,74,65.46,12.2,37.4,1.12
Eha Amufu,50,NG,1555472284,76,6.65,7.77,79.43,6.4
Berlevag,20,NO,1555469400,80,70.86,29.09,39.2,20.8
Laurel,75,US,1555472194,70,45.67,-108.77,46.4,8.05
Puerto del Rosario,0,ES,1555470000,88,28.5,-13.86,62.6,3.36
Venado Tuerto,0,AR,1555472165,70,-33.75,-61.97,55.99,4
Pimenta Bueno,100,BR,1555472285,94,-11.68,-61.19,74.75,1.07
Mahon,75,IE,1555471834,100,51.89,-8.4,51.01,12.75
Verkhneuralsk,20,RU,1555470000,53,53.88,59.21,21.2,20.13
Waingapu,11,ID,1555472285,70,-9.65,120.26,83.57,12.06
Nhamunda,100,BR,1555472285,96,-2.19,-56.71,73.67,1.34
Olga,20,US,1555472269,77,34.11,-118.17,61,5.82
Lienz,85,AT,1555472228,79,46.83,12.77,35.01,3.11
Haimen,0,CN,1555472157,59,31.87,121.18,75.99,5.73
Tessaoua,17,NE,1555472286,11,13.76,7.99,75.29,8.81
Pecos,1,US,1555471933,56,31.42,-103.49,69.8,10.29
Salinas,1,US,1555472088,81,36.67,-121.66,59,6.93
Te Anau,0,NZ,1555472286,41,-45.41,167.72,64.13,2.66
Flinders,40,AU,1555472260,57,-34.58,150.85,75.99,8.05
Marsa Matruh,20,EG,1555466400,72,31.35,27.25,60.8,9.17
Champerico,5,MX,1555468800,61,16.38,-93.6,80.6,6.93
Madimba,100,CM,1555472287,68,4.42,9.93,76.73,1.59
Fare,63,PF,1555472287,77,-16.7,-151.02,84.83,12.15
Soskovo,0,RU,1555472287,82,52.75,35.39,38.21,12.97
Ostersund,0,SE,1555472119,55,63.18,14.64,33.8,3.36
Takhatgarh,0,IN,1555472288,26,25.32,73,79.97,10.87
Balvi,0,LV,1555472288,96,57.13,27.27,36.41,5.3
Carangola,100,BR,1555472157,97,-20.73,-42.03,66.47,2.28
Cockburn Town,1,TC,1555472288,80,21.46,-71.14,79.07,15.46
Kununurra,0,AU,1555470000,34,-15.77,128.74,96.8,4.7
Whitefish,90,US,1555472098,45,48.41,-114.33,48.2,5.82
Llata,16,PE,1555472348,96,-9.55,-76.82,39.29,3.8
Blackwater,2,GB,1555472348,93,51.33,-0.78,48.2,1.12
Medgyesegyhaza,0,HU,1555470000,86,46.5,21.03,41,5.82
Constitucion,5,MX,1555469280,12,23.99,-104.67,66.2,15.32
Daru,74,SL,1555472349,97,7.99,-10.85,75.47,1.77
Lasa,40,CY,1555471915,77,34.92,32.53,59,5.82
Starkville,1,US,1555471976,87,33.45,-88.82,64.4,5.17
Kekri,3,IN,1555472316,48,25.97,75.15,77.99,11.95
Ingham,2,AU,1555472349,58,-18.65,146.16,79.97,8.81
Gboko,91,NG,1555472349,52,7.32,9,86.81,3.27
Makakilo City,90,US,1555472250,64,21.35,-158.09,82.4,6.93
Sao Joao da Barra,100,BR,1555472350,97,-21.64,-41.05,71.33,5.5
Lobito,100,AO,1555472149,83,-12.35,13.55,75.65,0.92
Tiarei,40,PF,1555471986,66,-17.53,-149.33,87.8,11.41
Ibimirim,6,BR,1555472350,87,-8.54,-37.69,72.05,6.15
Karabash,100,RU,1555472350,67,55.49,60.21,15.71,12.8
Pangai,75,TO,1555470000,88,-19.8,-174.35,78.8,17.22
Shitkino,25,RU,1555472351,57,56.37,98.35,35.69,4.99
Necochea,42,AR,1555471573,68,-38.55,-58.74,60.01,7
Southbridge,1,US,1555472349,48,42.08,-72.03,51.01,9.17
Tourlaville,20,FR,1555470000,100,49.64,-1.57,42.8,2.24
Urubicha,100,BO,1555472351,87,-15.63,-63.08,76.37,1.39
Beringovskiy,0,RU,1555472351,77,63.05,179.32,26.15,3.38
Naryan-Mar,100,RU,1555472351,90,67.67,53.09,12.65,14.88
Praia da Vitoria,40,PT,1555471815,71,38.73,-27.07,55.4,19.08
West Lafayette,90,US,1555471977,59,40.43,-86.91,68,5.82
Campbell River,90,CA,1555471911,81,50.02,-125.24,50,8.05
Kindu,92,CD,1555472352,90,-2.95,25.92,69.53,2.3
Tucurui,99,BR,1555472352,98,-3.77,-49.67,73.67,2.39
Tezu,8,IN,1555472058,34,27.93,96.16,85.37,3.04
Pacifica,1,US,1555472345,87,37.61,-122.49,57.99,17.22
Goderich,0,CA,1555472313,93,43.74,-81.71,39,4
Waipawa,19,NZ,1555472056,66,-39.94,176.59,57.99,4
Linjiang,24,CN,1555472353,28,41.81,126.91,60.89,14.45
Muravlenko,100,RU,1555472353,92,63.79,74.5,-4.09,25.39
Manadhoo,96,MV,1555472353,67,5.77,73.38,85.73,5.21
Ostrovnoy,100,RU,1555472353,88,68.05,39.51,33.35,10
Wlodawa,96,PL,1555470000,90,51.55,23.55,39.2,4.47
Alta Floresta,21,BR,1555472354,89,-9.87,-56.08,72.95,2.04
Peterhead,0,AU,1555472310,73,-34.83,138.5,84,13.87
Rocha,0,UY,1555472354,93,-34.48,-54.34,54.95,4.23
Bako,36,NG,1555472354,55,9.68,6.4,85.55,1.74
Trelew,100,AR,1555472354,40,-43.25,-65.31,67.37,15.37
Aricestii-Rahtivani,0,RO,1555472345,93,44.95,25.83,41,3.36
Kundiawa,99,PG,1555472219,91,-6.02,144.97,61.79,2.48
Mana,0,RS,1555470000,100,43.52,20.24,33.8,2.24
Paray-le-Monial,90,FR,1555471894,100,46.45,4.12,44.01,2.24
Sanjwal,90,PK,1555472242,100,33.76,72.43,64,13.87
Vuktyl,0,RU,1555472415,85,63.86,57.31,6.53,8.57
Birjand,0,IR,1555470000,76,32.86,59.22,50,6.93
Pokhara,34,NP,1555472415,35,28.21,83.99,58.37,3.51
Landau,0,DE,1555472410,52,51.34,9.08,46.99,4.7
Mao,20,DO,1555472134,83,19.55,-71.08,78.01,11.41
Baruun-Urt,23,MN,1555472416,57,46.68,113.28,39.83,19.89
Hovd,0,NO,1555472379,59,63.83,10.7,50,17.22
Teguldet,100,RU,1555472416,61,57.31,88.17,35.15,10.58
Savannakhet,40,TH,1555470000,62,16.57,104.76,89.6,2.24
Adrar,0,DZ,1555470000,13,27.87,-0.29,66.2,5.82
Georgiyevka,0,RU,1555472416,74,52.25,40.45,39.83,14
Riyadh,0,SA,1555470000,15,24.63,46.72,75.2,4.7
Tallahassee,75,US,1555472404,87,30.44,-84.28,62.01,1.92
Sangar,0,RU,1555472417,78,63.92,127.47,20.57,14.79
Sahagun,80,CO,1555472417,74,8.95,-75.44,82.31,10.33
Jian,85,IN,1555472417,59,25.65,87.89,90.05,7.54
Havoysund,91,NO,1555469400,93,71,24.66,35.6,24.16
Lensk,100,RU,1555472418,55,60.71,114.91,27.05,4.43
Vernon,90,CA,1555470000,37,50.27,-119.27,55.4,10.29
Camacha,40,PT,1555470000,82,33.08,-16.33,60.8,10.29
